Symbol,Current_price,Future_price,Forward_Return
SCHW,82.61100769042969,94.5199966430664,0.1441574105628099
CHTR,385.0,233.83999633789062,-0.39262338613534903
CVX,135.3268585205078,157.72000122070312,0.16547448854583285
CMG,51.560001373291016,31.690000534057617,-0.38537626667958946
CB,286.34661865234375,276.94000244140625,-0.032850453255598475
CHD,92.35055541992188,87.69000244140625,-0.05046589007855875
CI,331.4710998535156,244.41000366210938,-0.2626506390146244
CINF,141.92575073242188,154.58999633789062,0.08923148576007989
CTAS,210.73553466796875,183.27000427246094,-0.1303317470344146
CSCO,58.62137985229492,73.11000061035156,0.24715591469465278
C,69.57243347167969,101.2300033569336,0.4550303662748912
CFG,37.973228454589844,50.869998931884766,0.33962796955011293
CLX,136.2518768310547,112.45999908447266,-0.17461688088218216
